"","向量","一维数组","矩阵/二维数组","三维数组","列表","数据框"
"[i]","数据","数据","数据","数据","单行列表","单列数据框（=[,j,drop = FALSE）"
"[[i]]","数据","数据","数据","数据","数据/对象","向量（=[,j]）"
"[i,j]","-","-","数据","-","-","数据"
"[[i,j]]","-","-","数据","-","-","数据"
"[i,]","-","-","向量","-","-","单行数据框"
"[i,,drop = FALSE]","-","-","单行矩阵","-","-","单行数据框"
"[,j]","-","-","向量","-","-","向量（=[[i]]）"
"[,j,drop = FALSE]","-","-","单列矩阵","-","-","单列数据框（=[i]）"
"[i,j,k]","-","-","-","数据","-","-"
"[[i,j,k]]","-","-","-","数据","-","-"
"[i,,k]","-","-","-","向量","-","-"
"[i,,k,drop = FALSE]","-","-","-","矩阵","-","-"
"[i,,]","-","-","-","矩阵","-","-"
"[i,,,drop = FALSE]","-","-","-","三维数组","-","-"
"[c(i,j,……)]","向量","向量","向量","向量","多行列表","多列数据框（=[,c(i2,j2,……)]）"
"[c(i1,j1,……),c(i2,j2,……)]","-","-","矩阵","-","-","多行多列数据框"
"[c(i1,j1,……),]","-","-","矩阵","-","-","多行数据框"
"[,c(i2,j2,……)]","-","-","矩阵","-","-","多列数据框（=[c(i,j,……)]）"
"[c(i1,j1,……),c(i2,j2,……),c(i3,j3,……)]","-","-","-","三维数组","-","-"
"[[i,]]","-","-","-","-","-","-"
"[[,j]]","-","-","-","-","-","-"
"[[c(i,j,……)]]","-","-","-","-","-","-"
"[[-i]]","-","-","-","-","-","-"
"[-i]","向量","向量","向量","向量","列表","数据框"
"[(-)i,(-)j]","-","-","数据/向量/矩阵","-","-","数据/向量/数据框"
"[(-)i,(-)j,drop = FALSE]","-","-","矩阵","-","-","数据框"
"[-c(i,j,……)]","向量","向量","向量","向量","列表","数据框"
"[(-)c(i1,j1,……),(-)c(i2,j2,……)]","-","-","数据/向量/矩阵","-","-","数据/向量/数据框"
"[(-)c(i1,j1,……),(-)c(i2,j2,……),drop = FALSE]","-","-","矩阵","-","-","数据框"
